iter	Passed	Remaining
950	15024	24472
951	15040	24456
952	15055	24439
953	15071	24424
954	15086	24407
955	15102	24392
956	15116	24373
957	15132	24356
958	15148	24341
959	15164	24326
960	15180	24311
961	15196	24295
962	15213	24281
963	15230	24268
964	15246	24251
965	15262	24236
966	15279	24222
967	15295	24206
968	15311	24191
969	15327	24176
970	15343	24161
971	15359	24145
972	15375	24130
973	15391	24114
974	15408	24100
975	15424	24085
976	15439	24068
977	15456	24054
978	15473	24040
979	15489	24023
980	15504	24006
981	15519	23991
982	15535	23975
983	15551	23959
984	15567	23944
985	15582	23927
986	15597	23910
987	15611	23891
988	15626	23873
989	15640	23855
990	15654	23837
991	15669	23820
992	15683	23801
993	15697	23783
994	15712	23766
995	15727	23749
996	15742	23732
997	15757	23715
998	15773	23699
999	15788	23683
1000	15803	23665
1001	15818	23649
1002	15835	23634
1003	15849	23616
1004	15864	23599
1005	15879	23583
1006	15894	23565
1007	15909	23548
1008	15923	23530
1009	15939	23514
1010	15953	23496
1011	15967	23478
1012	15982	23460
1013	15997	23443
1014	16012	23426
1015	16027	23410
1016	16041	23392
1017	16057	23375
1018	16071	23358
1019	16087	23342
1020	16102	23326
1021	16117	23308
1022	16132	23291
1023	16146	23273
1024	16161	23256
1025	16175	23238
1026	16191	23222
1027	16206	23206
1028	16221	23188
1029	16235	23171
1030	16250	23153
1031	16265	23136
1032	16279	23119
1033	16295	23103
1034	16310	23086
1035	16323	23067
1036	16338	23051
1037	16354	23034
1038	16369	23018
1039	16385	23003
1040	16401	22986
1041	16416	22970
1042	16431	22953
1043	16447	22937
1044	16461	22920
1045	16477	22904
1046	16492	22888
1047	16508	22871
1048	16523	22856
1049	16538	22838
1050	16554	22822
1051	16569	22807
1052	16584	22790
1053	16599	22773
1054	16614	22756
1055	16630	22741
1056	16646	22725
1057	16661	22708
1058	16677	22693
1059	16692	22677
1060	16708	22661
1061	16724	22645
1062	16739	22629
1063	16755	22613
1064	16770	22596
1065	16785	22580
1066	16801	22564
1067	16815	22547
1068	16831	22531
1069	16847	22516
1070	16864	22501
1071	16880	22486
1072	16896	22470
1073	16912	22454
1074	16926	22437
1075	16941	22420
1076	16955	22403
1077	16971	22386
1078	16987	22371
1079	17001	22354
1080	17017	22338
1081	17033	22323
1082	17049	22307
1083	17064	22291
1084	17080	22276
1085	17096	22260
1086	17111	22243
1087	17127	22227
1088	17141	22210
1089	17157	22194
1090	17172	22178
1091	17187	22160
1092	17203	22145
1093	17218	22128
1094	17233	22111
1095	17249	22096
1096	17264	22080
1097	17280	22064
1098	17296	22048
1099	17311	22032
1100	17326	22016
1101	17349	22010
1102	17364	21993
1103	17380	21977
1104	17394	21960
1105	17409	21943
1106	17424	21926
1107	17439	21909
1108	17454	21892
1109	17470	21877
1110	17485	21860
1111	17499	21842
1112	17514	21825
1113	17528	21808
1114	17543	21791
1115	17558	21774
1116	17573	21757
1117	17587	21741
1118	17602	21723
1119	17617	21706
1120	17631	21689
1121	17646	21672
1122	17660	21655
1123	17675	21638
1124	17689	21620
1125	17704	21603
1126	17719	21586
1127	17734	21570
1128	17749	21554
1129	17764	21537
1130	17781	21522
1131	17796	21506
1132	17811	21489
1133	17830	21478
1134	17845	21461
1135	17861	21446
1136	17878	21431
1137	17894	21416
1138	17910	21401
1139	17926	21385
1140	17942	21370
1141	17957	21354
1142	17973	21338
1143	17988	21321
1144	18002	21304
1145	18018	21288
1146	18033	21272
1147	18047	21254
1148	18062	21237
1149	18077	21220
1150	18091	21204
1151	18107	21187
1152	18123	21172
1153	18139	21157
1154	18154	21140
1155	18169	21124
1156	18185	21108
1157	18201	21093
1158	18217	21078
1159	18233	21062
1160	18247	21045
1161	18262	21028
1162	18276	21011
1163	18292	20995
1164	18308	20979
1165	18323	20964
1166	18340	20949
1167	18355	20932
1168	18370	20916
1169	18385	20900
1170	18402	20885
1171	18418	20869
1172	18433	20853
1173	18448	20837
1174	18463	20820
1175	18478	20804
1176	18492	20786
1177	18509	20771
1178	18524	20755
1179	18541	20741
1180	18557	20725
1181	18572	20708
1182	18587	20692
1183	18601	20675
1184	18616	20659
1185	18631	20642
1186	18646	20625
1187	18660	20608
1188	18675	20592
1189	18691	20575
1190	18706	20559
1191	18720	20542
1192	18735	20526
1193	18759	20519
1194	18796	20526
1195	18863	20566
1196	18905	20579
1197	18946	20591
1198	18997	20613
1199	19035	20622
1200	19075	20632
1201	19115	20642
1202	19156	20653
1203	19192	20659
